Court Name,Court Code,Court ID
ABERYSTWYTH,102,AB
ALDERSHOT & FARNHAM,104,AF
BANBURY,114,ZA
BARNET,117,BT
BARNSLEY,118,BY
BARNSTAPLE,119,BP
BARROW-IN-FURNESS,120,BW
BASILDON,153,BQ
BASINGSTOKE,122,BK
BATH,123,BA
BEDFORD,124,BE
BIRKENHEAD,126,BI
BIRMINGHAM,127,BM
BLACKBURN,130,BB
BLACKPOOL,131,BC
BLACKWOOD,132,ZJ
BODMIN,136,BJ
BOLTON,137,BL
BOSTON,138,BZ
BOURNEMOUTH AND POOLE,139,BH
BOW,140,BO
BRADFORD,141,BD
BRENTFORD,144,BF
BRIGHTON,150,BN
BRISTOL,151,BS
BROMLEY,152,BR
BURNLEY,154,ZP
BURY,156,BU
BURY ST EDMUNDS M. E. B. C.,392,ZB
BURY ST. EDMUNDS,157,BV
CAERNARFON,159,CJ
CAMBRIDGE,162,CB
CANTERBURY,163,CT
CARDIFF,164,CF
CARLISLE,165,CA
CARMARTHEN,166,CX
CCMCC,390,NX
CCMCC (WALES),391,NW
CENTRAL FAMILY COURT,115,ZC
CENTRAL LONDON,372,CL
CHELMSFORD,167,CM
CHESTER,170,CH
CHESTERFIELD,171,CD
CHICHESTER,172,CI
CHIPPENHAM AND TROWBRIDGE,353,TW
CLERKENWELL & SHOREDITCH,321,EC
COLCHESTER,176,CO
COUNTY COURT BUSINESS CENTRE,335,QA
COVENTRY,180,CV
CREWE,181,CW
CROYDON,182,CR
DARLINGTON,183,DL
DARTFORD,184,DA
DERBY,185,DE
DONCASTER,187,DN
DUDLEY,189,DD
DURHAM,190,DH
EAST LONDON,121,ZE
EAST MIDLANDS DIVORCE UNIT,801,EZ
EASTBOURNE,191,EA
EDMONTON,194,ED
EXETER,198,EX
GATESHEAD,202,GH
GLOUCESTER AND CHELTENHAM,203,GL
GREAT GRIMSBY,208,GG
GUILDFORD,211,GU
HARROGATE,214,HG
HASTINGS,216,HS
HAVERFORDWEST,217,HV
HEREFORD,220,HR
HERTFORD,221,HF
HIGH WYCOMBE,223,HW
HORSHAM,227,HM
HUDDERSFIELD,228,HD
IPSWICH,233,IP
KENDAL,235,KN
KETTERING,236,KG
KINGSTON-UPON-HULL,239,KH
KINGSTON-UPON-THAMES,240,KT
LAMBETH,241,LB
LANCASTER,242,LA
LEEDS,243,LS
LEICESTER,244,LE
LEWES,247,LW
LINCOLN,249,LN
LIVERPOOL,251,LV
LLANELLI,253,LI
LLANGEFNI,254,LL
LUTON,258,LU
MAIDSTONE,261,MS
MANCHESTER,262,MA
MANSFIELD,263,MF
MAYORS & CITY OF LONDON COURT,266,MY
MEDWAY,267,ME
MERTHYR TYDFIL,269,MT
MIDDLESBROUGH,270,MB
MILTON KEYNES,388,MK
MOLD,271,ML
NEWCASTLE UPON TYNE,278,NE
NEWPORT ( I O W ),279,NI
NEWPORT - GWENT,280,NP
NEWTON AYCLIFFE,531,UA
NORTH SHIELDS,283,NS
NORTHALLERTON,503,RN
NORTHAMPTON,282,NN
NORWICH,285,NR
NOTTINGHAM,286,NG
NUNEATON,287,NU
OLDHAM,288,OL
OXFORD,291,OX
PETERBOROUGH,294,PE
PLYMOUTH,296,PL
PONTYPRIDD,299,PD
PORT TALBOT JUSTICE CENTRE,274,NT
PORTSMOUTH,302,PO
PRESTATYN JUSTICE CENTRE,308,RL
PRESTON,303,PR
PRINCIPAL REGISTRY OF THE FAMILY DIVISION,100,FD
READING,305,RG
ROMFORD,387,RM
SALISBURY,317,SB
SCARBOROUGH,318,SZ
SHEFFIELD,320,SE
SKIPTON,325,SP
SLOUGH,327,SL
SOUTH SHIELDS,331,SH
SOUTH WEST DIVORCE UNIT,800,RS
SOUTHAMPTON,328,SO
SOUTHEND,329,SS
ST. HELENS,315,SW
STAFFORD,333,ST
STAINES,334,SM
STOCKPORT,336,SK
STOKE ON TRENT,338,SQ
SUNDERLAND,343,SR
SUSSEX - BRIGHTON,554,SD
SWANSEA,344,SA
SWINDON,345,SN
TAUNTON,347,TA
TELFORD,364,TF
THANET,348,TT
TORQUAY & NEWTON ABBOT,352,TQ
TRURO,354,TR
UXBRIDGE,356,UB
WAKEFIELD,357,WF
WALES M. E. B. C.,393,ZG
WALSALL,358,WJ
WANDSWORTH,359,WT
WARWICK,361,WW
WATFORD,362,WD
WELSHPOOL,366,WP
WEST CUMBRIA,373,WH
WEST LONDON,332,ZW
WEST MIDLANDS DIVORCE UNIT,802,WU
WESTON-SUPER-MARE,370,WM
WEYMOUTH,371,WY
WIGAN,374,WN
WILLESDEN,375,WI
WINCHESTER,376,WC
WOLVERHAMPTON,378,WV
WOOLWICH,379,WO
WORCESTER,380,WR
WORTHING,383,WG
WREXHAM,384,WX
YEOVIL,385,YE
YORK,386,YO
